,kolejności,Anon,Data zakupu,bottle_units,pitcher_units,accessory_units,other_units,bottle_filter_units,pitcher_filter_units,bottle_included_filter_units,total_bottle_filters
0,68640194,ANON_0001,2022-11-09,1,0,1,0,4,0,1,5
1,69067553,ANON_0002,2022-11-11,0,0,1,0,2,0,0,2
2,69571584,ANON_0003,2022-11-13,2,0,0,1,9,0,2,11
3,69716225,ANON_0004,2022-11-14,0,1,0,0,0,2,0,0
4,69779965,ANON_0005,2022-11-14,0,1,0,0,0,0,0,0
5,69825101,ANON_0006,2022-11-14,0,1,0,0,3,8,0,3
6,69871741,ANON_0007,2022-11-14,1,0,0,0,4,0,1,5
7,69955393,ANON_0008,2022-11-15,0,1,0,1,0,0,0,0
8,70018996,ANON_0009,2022-11-15,0,1,0,1,0,0,0,0
9,70059452,ANON_0010,2022-11-15,1,0,0,0,1,0,1,2
10,70107557,ANON_0011,2022-11-15,1,0,0,0,1,0,1,2
11,70165446,ANON_0012,2022-11-15,0,1,0,1,0,0,0,0
12,70245579,ANON_0013,2022-11-16,0,0,2,0,3,0,0,3
13,70309526,ANON_0014,2022-11-16,2,0,0,0,2,0,2,4
14,70381061,ANON_0015,2022-11-16,1,0,0,0,4,0,1,5
15,70418667,ANON_0016,2022-11-16,0,0,0,0,0,8,0,0
16,70482384,ANON_0017,2022-11-17,0,0,2,0,0,0,0,0
17,70571788,ANON_0018,2022-11-17,0,1,0,1,0,0,0,0
18,70627381,ANON_0019,2022-11-17,0,0,0,2,0,0,0,0
19,70681343,ANON_0020,2022-11-17,0,1,0,0,6,0,0,6
20,70765889,ANON_0021,2022-11-18,0,1,0,0,0,5,0,0
21,70812402,ANON_0022,2022-11-18,0,0,0,1,1,0,0,1
22,70879206,ANON_0023,2022-11-18,0,1,0,0,0,2,0,0
23,70925047,ANON_0024,2022-11-19,0,1,0,1,0,0,0,0
24,70974602,ANON_0025,2022-11-19,1,0,1,0,3,6,1,4
25,71037795,ANON_0026,2022-11-19,0,1,0,1,0,0,0,0
26,71108105,ANON_0027,2022-11-20,2,0,0,0,8,0,2,10
27,71170123,ANON_0028,2022-11-20,0,0,0,4,0,0,0,0
28,71213341,ANON_0029,2022-11-20,0,0,0,5,0,0,0,0
29,71286523,ANON_0030,2022-11-20,2,0,0,0,32,0,2,34
30,71367858,ANON_0031,2022-11-21,0,0,0,0,6,0,0,6
31,71437179,ANON_0032,2022-11-21,0,0,0,0,0,8,0,0
32,71491029,ANON_0033,2022-11-21,0,0,1,0,2,0,0,2
33,71550686,ANON_0034,2022-11-21,1,1,0,0,4,0,1,5
34,71642317,ANON_0035,2022-11-22,0,0,4,0,0,0,0,0
35,71703481,ANON_0036,2022-11-22,0,0,0,2,0,0,0,0
36,71774799,ANON_0037,2022-11-22,1,0,0,0,1,0,1,2
37,71834990,ANON_0038,2022-11-22,4,0,1,0,6,0,4,10
38,71909595,ANON_0039,2022-11-22,0,1,0,0,3,5,0,3
39,71954510,ANON_0040,2022-11-23,1,1,0,0,4,0,1,5
40,72029832,ANON_0041,2022-11-23,2,0,0,0,5,0,2,7
41,72088340,ANON_0042,2022-11-23,0,0,1,0,0,0,0,0
42,72157764,ANON_0043,2022-11-23,0,0,0,0,0,4,0,0
43,72221685,ANON_0044,2022-11-24,0,1,0,0,0,2,0,0
44,72283889,ANON_0045,2022-11-24,1,0,0,0,4,0,1,5
45,72357063,ANON_0046,2022-11-24,0,1,4,0,0,6,0,0
46,72428298,ANON_0047,2022-11-24,1,0,1,0,3,0,1,4
47,72503108,ANON_0048,2022-11-25,0,0,0,9,6,0,0,6
48,72552305,ANON_0049,2022-11-25,0,1,0,0,0,6,0,0
49,72629587,ANON_0050,2022-11-25,0,0,0,0,0,16,0,0
50,72680150,ANON_0051,2022-11-25,0,1,0,1,0,0,0,0
51,72729730,ANON_0052,2022-11-25,0,1,0,0,0,2,0,0
52,72765485,ANON_0053,2022-11-25,0,1,0,1,0,0,0,0
53,72818490,ANON_0054,2022-11-26,2,0,0,0,5,8,2,7
54,72877891,ANON_0055,2022-11-26,0,0,0,2,0,0,0,0
55,72927856,ANON_0056,2022-11-26,0,0,0,0,6,0,0,6
56,72971178,ANON_0057,2022-11-26,0,0,0,2,0,0,0,0
57,73051182,ANON_0058,2022-11-27,2,0,3,0,4,0,2,6
58,73102832,ANON_0059,2022-11-27,0,0,0,0,8,0,0,8
59,73164743,ANON_0060,2022-11-27,1,0,0,0,1,0,1,2
60,73214628,ANON_0061,2022-11-27,0,1,0,0,0,3,0,0
61,73270883,ANON_0062,2022-11-27,0,0,0,2,0,0,0,0
62,73351778,ANON_0063,2022-11-28,0,0,0,0,3,0,0,3
63,73419522,ANON_0064,2022-11-28,1,0,0,0,18,0,1,19
64,73497655,ANON_0065,2022-11-28,0,0,4,2,5,0,0,5
65,73586645,ANON_0066,2022-11-28,0,1,0,1,0,0,0,0
66,73658406,ANON_0067,2022-11-28,0,1,0,1,0,0,0,0
67,73726630,ANON_0068,2022-11-29,2,1,0,1,2,0,2,4
68,73808575,ANON_0069,2022-11-29,1,0,0,0,1,0,1,2
69,73857859,ANON_0070,2022-11-29,0,0,1,0,0,0,0,0
70,73920042,ANON_0071,2022-11-29,2,1,0,0,5,2,2,7
71,74010394,ANON_0072,2022-11-30,1,0,0,0,1,0,1,2
72,74105481,ANON_0073,2022-11-30,0,0,0,0,0,16,0,0
73,74167046,ANON_0074,2022-11-30,1,0,1,0,3,0,1,4
74,74232346,ANON_0075,2022-11-30,6,0,0,0,6,0,6,12
75,74351722,ANON_0076,2022-12-01,1,0,0,2,1,0,1,2
76,74417194,ANON_0077,2022-12-01,0,0,0,0,7,1,0,7
77,74474452,ANON_0078,2022-12-01,0,0,0,2,0,0,0,0
78,74571114,ANON_0079,2022-12-02,1,0,0,0,1,0,1,2
79,74617110,ANON_0080,2022-12-02,0,1,0,1,0,12,0,0
80,74682253,ANON_0081,2022-12-02,5,0,0,0,5,0,5,10
81,74728692,ANON_0082,2022-12-02,0,0,0,7,0,0,0,0
82,74781374,ANON_0083,2022-12-03,2,0,0,0,4,0,2,6
83,74781375,ANON_0064,2022-12-03,0,0,0,2,12,0,0,12
84,74830540,ANON_0084,2022-12-03,0,0,0,0,0,16,0,0
85,74869399,ANON_0085,2022-12-03,0,0,0,0,3,0,0,3
86,74907565,ANON_0086,2022-12-03,0,2,0,0,0,0,0,0
87,74944406,ANON_0087,2022-12-03,1,0,0,0,2,0,1,3
88,74997718,ANON_0088,2022-12-04,0,0,0,0,7,0,0,7
89,75047484,ANON_0089,2022-12-04,1,0,0,0,0,0,1,1
90,75086465,ANON_0090,2022-12-04,2,1,0,1,2,0,2,4
91,75149326,ANON_0091,2022-12-04,1,0,0,0,2,0,1,3
92,75190674,ANON_0092,2022-12-04,1,0,0,0,2,0,1,3
93,75278415,ANON_0093,2022-12-05,0,0,3,0,6,0,0,6
94,75348591,ANON_0094,2022-12-05,0,0,0,2,1,0,0,1
95,75422947,ANON_0095,2022-12-05,0,0,2,0,0,0,0,0
96,75482096,ANON_0096,2022-12-05,1,0,0,0,1,0,1,2
97,75531486,ANON_0097,2022-12-05,0,0,0,0,1,0,0,1
98,75617013,ANON_0098,2022-12-06,0,1,0,1,0,0,0,0
99,75662581,ANON_0099,2022-12-06,0,1,0,1,0,0,0,0
100,75724862,ANON_0100,2022-12-06,0,1,0,1,0,0,0,0
101,75784859,ANON_0101,2022-12-06,1,0,0,1,0,0,1,1
102,75844569,ANON_0102,2022-12-06,0,0,0,0,4,12,0,4
103,75906701,ANON_0103,2022-12-07,1,1,0,0,5,0,1,6
104,75960718,ANON_0104,2022-12-07,0,0,0,0,0,12,0,0
105,76016351,ANON_0105,2022-12-07,0,0,0,0,3,0,0,3
106,76079678,ANON_0106,2022-12-07,2,0,0,0,2,0,2,4
107,76104204,ANON_0068,2022-12-07,2,0,0,0,2,0,2,4
108,76142688,ANON_0107,2022-12-07,0,0,0,6,3,0,0,3
109,76214591,ANON_0108,2022-12-08,0,1,0,1,0,0,0,0
110,76266362,ANON_0109,2022-12-08,1,0,0,0,5,0,1,6
111,76323509,ANON_0110,2022-12-08,0,0,0,2,0,0,0,0
112,76383818,ANON_0111,2022-12-08,0,1,0,0,0,9,0,0
113,76424685,ANON_0112,2022-12-08,4,0,1,0,4,0,4,8
